,V1,V2,V3,V4,V5,V6,V7
35,2400,100,0.669334129,0.639756944,0.489583333,0.789930556,0.293043737
36,2300,0.01,0.667947651,0.639756944,0.498263889,0.78125,0.291426225
41,2200,0.01,0.664535711,0.638020833,0.449652778,0.826388889,0.297997971
37,2300,0.1,0.664508584,0.635416667,0.53125,0.739583333,0.27690931
38,2300,1,0.664508584,0.635416667,0.53125,0.739583333,0.27690931
39,2300,10,0.664508584,0.635416667,0.53125,0.739583333,0.27690931
40,2300,100,0.664508584,0.635416667,0.53125,0.739583333,0.27690931
42,2200,0.1,0.659761405,0.634548611,0.487847222,0.78125,0.281485713
43,2200,1,0.659761405,0.634548611,0.487847222,0.78125,0.281485713
44,2200,10,0.659761405,0.634548611,0.487847222,0.78125,0.281485713
45,2200,100,0.659761405,0.634548611,0.487847222,0.78125,0.281485713
96,1100,0.01,0.648536965,0.630208333,0.602430556,0.657986111,0.260819477
111,800,0.01,0.658848139,0.627604167,0.609375,0.645833333,0.255378115
106,900,0.01,0.655035325,0.626736111,0.487847222,0.765625,0.263856188
66,1700,0.01,0.645688657,0.626736111,0.614583333,0.638888889,0.253547126
46,2100,0.01,0.658998843,0.625868056,0.470486111,0.78125,0.264849571
61,1800,0.01,0.650309245,0.625868056,0.630208333,0.621527778,0.251745596
51,2000,0.01,0.649661217,0.623263889,0.576388889,0.670138889,0.247618346
71,1600,0.01,0.639570071,0.622395833,0.564236111,0.680555556,0.246464705
91,1200,0.01,0.64910964,0.622395833,0.602430556,0.642361111,0.244987054
47,2100,0.1,0.651071807,0.620659722,0.432291667,0.809027778,0.260513949
48,2100,1,0.651071807,0.620659722,0.432291667,0.809027778,0.260513949
49,2100,10,0.651071807,0.620659722,0.432291667,0.809027778,0.260513949
50,2100,100,0.651071807,0.620659722,0.432291667,0.809027778,0.260513949
101,1000,0.01,0.642870491,0.619791667,0.538194444,0.701388889,0.242838849
86,1300,0.01,0.643633054,0.618055556,0.684027778,0.552083333,0.238193611
56,1900,0.01,0.648277754,0.618055556,0.553819444,0.682291667,0.238084088
81,1400,0.01,0.639277705,0.616319444,0.491319444,0.741319444,0.240268411
76,1500,0.01,0.638361425,0.615451389,0.473958333,0.756944444,0.240743403
52,2000,0.1,0.639702691,0.611979167,0.489583333,0.734375,0.230985918
53,2000,1,0.639702691,0.611979167,0.489583333,0.734375,0.230985918
54,2000,10,0.639702691,0.611979167,0.489583333,0.734375,0.230985918
55,2000,100,0.639702691,0.611979167,0.489583333,0.734375,0.230985918
128,500,1,0.626901886,0.610243056,0.59375,0.626736111,0.220606163
127,500,0.1,0.636152103,0.609375,0.534722222,0.684027778,0.221229741
62,1800,0.1,0.633487654,0.609375,0.586805556,0.631944444,0.218973195
63,1800,1,0.633487654,0.609375,0.586805556,0.631944444,0.218973195
64,1800,10,0.633487654,0.609375,0.586805556,0.631944444,0.218973195
65,1800,100,0.633487654,0.609375,0.586805556,0.631944444,0.218973195
57,1900,0.1,0.633578077,0.608506944,0.524305556,0.692708333,0.220158128
58,1900,1,0.633578077,0.608506944,0.524305556,0.692708333,0.220158128
59,1900,10,0.633578077,0.608506944,0.524305556,0.692708333,0.220158128
60,1900,100,0.633578077,0.608506944,0.524305556,0.692708333,0.220158128
122,600,0.1,0.617705922,0.603298611,0.506944444,0.699652778,0.210543635
67,1700,0.1,0.618739752,0.600694444,0.4375,0.763888889,0.213056823
68,1700,1,0.618739752,0.600694444,0.4375,0.763888889,0.213056823
69,1700,10,0.618739752,0.600694444,0.4375,0.763888889,0.213056823
70,1700,100,0.618739752,0.600694444,0.4375,0.763888889,0.213056823
117,700,0.1,0.615285614,0.600694444,0.541666667,0.659722222,0.202807121
123,600,1,0.607650945,0.597222222,0.574652778,0.619791667,0.19464284
120,700,100,0.602313006,0.592013889,0.470486111,0.713541667,0.189716939
130,500,100,0.60812717,0.590277778,0.545138889,0.635416667,0.181295855
72,1600,0.1,0.600353853,0.588541667,0.442708333,0.734375,0.185132908
73,1600,1,0.600353853,0.588541667,0.442708333,0.734375,0.185132908
74,1600,10,0.600353853,0.588541667,0.442708333,0.734375,0.185132908
75,1600,100,0.600353853,0.588541667,0.442708333,0.734375,0.185132908
118,700,1,0.595088252,0.584201389,0.505208333,0.663194444,0.17054459
129,500,10,0.583833671,0.577256944,0.428819444,0.725694444,0.161808821
125,600,100,0.584596234,0.577256944,0.508680556,0.645833333,0.15598799
93,1200,1,0.578893591,0.574652778,0.645833333,0.503472222,0.150841912
94,1200,10,0.578893591,0.574652778,0.645833333,0.503472222,0.150841912
95,1200,100,0.578893591,0.574652778,0.645833333,0.503472222,0.150841912
