,V1,V2,V3,,
201,1780,0.1,83.11897106,,
202,1780,0.3,84.5659164,,
203,1780,1,84.5659164,,
204,1780,3,85.69131833,,
205,1780,10,85.20900322,,
206,1780,30,85.04823151,,
207,1780,100,83.76205788,,
208,1770,0.01,84.88745981,,
209,1770,0.03,84.7266881,,
210,1770,0.1,83.44051447,,
211,1770,0.3,83.44051447,,
212,1770,1,84.5659164,,
213,1770,3,84.40514469,,
214,1770,10,85.36977492,,
215,1770,30,83.60128617,,
216,1770,100,84.40514469,,
217,1760,0.01,84.40514469,,
218,1760,0.03,84.7266881,,
219,1760,0.1,84.40514469,,
220,1760,0.3,84.08360129,,
221,1760,1,83.44051447,,
222,1760,3,83.92282958,,
223,1760,10,83.76205788,,
224,1760,30,85.20900322,,
225,1760,100,84.24437299,,
226,1750,0.01,83.92282958,,
227,1750,0.03,84.7266881,,
228,1750,0.1,84.88745981,,
229,1750,0.3,83.92282958,,
230,1750,1,84.5659164,,
231,1750,3,85.53054662,,
232,1750,10,85.53054662,,
233,1750,30,83.76205788,,
234,1750,100,85.20900322,,
235,1740,0.01,83.92282958,,
236,1740,0.03,83.44051447,,
237,1740,0.1,84.08360129,,
238,1740,0.3,84.08360129,,
239,1740,1,84.7266881,,
240,1740,3,85.36977492,,
241,1740,10,84.24437299,,
242,1740,30,84.88745981,,
243,1740,100,84.24437299,,
244,1730,0.01,84.08360129,,
245,1730,0.03,84.40514469,,
246,1730,0.1,84.5659164,,
247,1730,0.3,85.20900322,,
248,1730,1,83.60128617,,
249,1730,3,84.5659164,,
250,1730,10,85.69131833,,
251,1730,30,85.53054662,,
252,1730,100,86.01286174,,
253,1720,0.01,83.76205788,,
254,1720,0.03,85.04823151,,
255,1720,0.1,84.40514469,,
256,1720,0.3,82.95819936,,
257,1720,1,84.08360129,,
258,1720,3,85.04823151,,
259,1720,10,84.88745981,,
260,1720,30,84.08360129,,
261,1720,100,85.04823151,,
262,1710,0.01,83.92282958,,
263,1710,0.03,84.7266881,,
264,1710,0.1,84.5659164,,
265,1710,0.3,85.53054662,,
266,1710,1,84.88745981,,
267,1710,3,84.24437299,,
268,1710,10,84.40514469,,
269,1710,30,84.08360129,,
270,1710,100,85.85209003,,
271,1700,0.01,84.40514469,,
272,1700,0.03,84.24437299,,
273,1700,0.1,83.44051447,,
274,1700,0.3,84.88745981,,
275,1700,1,83.92282958,,
276,1700,3,84.40514469,,
277,1700,10,84.7266881,,
