"","V1","V2","V3"
"141",1850,3,88.4244372990354
"142",1850,10,87.9421221864952
"143",1850,30,89.871382636656
"144",1850,100,88.4244372990354
"145",1840,0.01,89.5498392282958
"146",1840,0.03,87.9421221864952
"147",1840,0.1,88.2636655948553
"148",1840,0.3,88.2636655948553
"149",1840,1,89.0675241157556
"150",1840,3,88.7459807073955
"151",1840,10,89.7106109324759
"152",1840,30,88.4244372990354
"153",1840,100,89.0675241157556
"154",1830,0.01,88.7459807073955
"155",1830,0.03,88.4244372990354
"156",1830,0.1,88.5852090032154
"157",1830,0.3,87.6205787781351
"158",1830,1,88.2636655948553
"159",1830,3,89.2282958199357
"160",1830,10,88.5852090032154
"161",1830,30,88.9067524115756
"162",1830,100,87.9421221864952
"163",1820,0.01,89.0675241157556
"164",1820,0.03,89.5498392282958
"165",1820,0.1,88.4244372990354
"166",1820,0.3,88.2636655948553
"167",1820,1,89.0675241157556
"168",1820,3,89.2282958199357
"169",1820,10,88.4244372990354
"170",1820,30,88.4244372990354
"171",1820,100,88.4244372990354
"172",1810,0.01,88.9067524115756
"173",1810,0.03,87.459807073955
"174",1810,0.1,88.9067524115756
"175",1810,0.3,89.2282958199357
"176",1810,1,89.3890675241158
"177",1810,3,88.2636655948553
"178",1810,10,88.4244372990354
"179",1810,30,88.9067524115756
"180",1810,100,89.3890675241158
"181",1800,0.01,87.7813504823151
"182",1800,0.03,88.7459807073955
"183",1800,0.1,88.7459807073955
"184",1800,0.3,88.9067524115756
"185",1800,1,88.4244372990354
"186",1800,3,88.5852090032154
"187",1800,10,88.9067524115756
"188",1800,30,89.3890675241158
"189",1800,100,87.459807073955
"190",1790,0.01,88.4244372990354
"191",1790,0.03,88.2636655948553
"192",1790,0.1,88.4244372990354
"193",1790,0.3,89.2282958199357
"194",1790,1,89.3890675241158
"195",1790,3,87.7813504823151
"196",1790,10,87.7813504823151
"197",1790,30,87.459807073955
"198",1790,100,88.4244372990354
"199",1780,0.01,88.1028938906752
"200",1780,0.03,88.5852090032154
"201",1780,0.1,88.4244372990354
"202",1780,0.3,89.2282958199357
"203",1780,1,87.6205787781351
"204",1780,3,89.0675241157556
"205",1780,10,88.9067524115756
"206",1780,30,88.9067524115756
"207",1780,100,87.7813504823151
"208",1770,0.01,88.9067524115756
"209",1770,0.03,88.9067524115756
"210",1770,0.1,88.4244372990354
"211",1770,0.3,88.7459807073955
"212",1770,1,88.9067524115756
"213",1770,3,87.6205787781351
"214",1770,10,89.3890675241158
"215",1770,30,89.0675241157556
"216",1770,100,89.0675241157556
"217",1760,0.01,89.3890675241158
"218",1760,0.03,87.7813504823151
"219",1760,0.1,87.7813504823151
"220",1760,0.3,88.4244372990354
"221",1760,1,88.7459807073955
"222",1760,3,89.0675241157556
"223",1760,10,87.7813504823151
"224",1760,30,88.2636655948553
"225",1760,100,88.9067524115756
"226",1750,0.01,88.7459807073955
"227",1750,0.03,89.3890675241158
"228",1750,0.1,88.9067524115756
"229",1750,0.3,88.9067524115756
"230",1750,1,88.5852090032154
"231",1750,3,88.4244372990354
"232",1750,10,87.9421221864952
"233",1750,30,88.4244372990354
"234",1750,100,89.5498392282958
"235",1740,0.01,88.4244372990354
"236",1740,0.03,89.2282958199357
"237",1740,0.1,88.9067524115756
"238",1740,0.3,88.7459807073955
"239",1740,1,89.0675241157556
"240",1740,3,88.9067524115756
"241",1740,10,88.4244372990354
"242",1740,30,89.5498392282958
"243",1740,100,89.3890675241158
"244",1730,0.01,88.5852090032154
"245",1730,0.03,88.2636655948553
"246",1730,0.1,89.0675241157556
"247",1730,0.3,88.4244372990354
"248",1730,1,88.4244372990354
"249",1730,3,88.1028938906752
"250",1730,10,88.5852090032154
"251",1730,30,88.1028938906752
"252",1730,100,88.5852090032154
"253",1720,0.01,89.5498392282958
"254",1720,0.03,88.5852090032154
"255",1720,0.1,88.2636655948553
"256",1720,0.3,88.5852090032154
"257",1720,1,89.2282958199357
"258",1720,3,88.1028938906752
"259",1720,10,88.4244372990354
"260",1720,30,89.7106109324759
"261",1720,100,89.871382636656
"262",1710,0.01,88.7459807073955
"263",1710,0.03,88.5852090032154
"264",1710,0.1,88.7459807073955
"265",1710,0.3,87.6205787781351
"266",1710,1,88.5852090032154
"267",1710,3,89.5498392282958
"268",1710,10,88.1028938906752
"269",1710,30,89.3890675241158
"270",1710,100,88.7459807073955
"271",1700,0.01,88.5852090032154
"272",1700,0.03,88.9067524115756
"273",1700,0.1,89.2282958199357
"274",1700,0.3,88.4244372990354
"275",1700,1,87.7813504823151
"276",1700,3,88.7459807073955
"277",1700,10,89.0675241157556
"278",1700,30,87.9421221864952
"279",1700,100,89.2282958199357
"280",1690,0.01,88.5852090032154
"281",1690,0.03,88.4244372990354
"282",1690,0.1,88.4244372990354
"283",1690,0.3,89.5498392282958
"284",1690,1,87.9421221864952
"285",1690,3,87.7813504823151
"286",1690,10,88.2636655948553
"287",1690,30,88.7459807073955
"288",1690,100,88.9067524115756
"289",1680,0.01,88.2636655948553
"290",1680,0.03,87.6205787781351
"291",1680,0.1,87.9421221864952
"292",1680,0.3,88.4244372990354
"293",1680,1,88.7459807073955
"294",1680,3,88.4244372990354
"295",1680,10,88.2636655948553
"296",1680,30,88.5852090032154
"297",1680,100,89.3890675241158
"298",1670,0.01,89.0675241157556
"299",1670,0.03,88.2636655948553
"300",1670,0.1,87.7813504823151
"301",1670,0.3,89.0675241157556
"302",1670,1,89.5498392282958
"303",1670,3,88.7459807073955
"304",1670,10,88.7459807073955
"305",1670,30,88.7459807073955
"306",1670,100,89.0675241157556
"307",1660,0.01,88.4244372990354
"308",1660,0.03,88.4244372990354
"309",1660,0.1,88.7459807073955
"310",1660,0.3,88.7459807073955
"311",1660,1,88.7459807073955
"312",1660,3,87.9421221864952
"313",1660,10,89.2282958199357
"314",1660,30,88.2636655948553
"315",1660,100,88.2636655948553
"316",1650,0.01,88.1028938906752
"317",1650,0.03,89.0675241157556
"318",1650,0.1,87.2990353697749
"319",1650,0.3,88.7459807073955
"320",1650,1,89.0675241157556
"321",1650,3,87.7813504823151
"322",1650,10,87.9421221864952
"323",1650,30,88.2636655948553
"324",1650,100,89.3890675241158
"325",1640,0.01,87.459807073955
"326",1640,0.03,87.7813504823151
"327",1640,0.1,87.6205787781351
"328",1640,0.3,88.4244372990354
"329",1640,1,88.2636655948553
"330",1640,3,88.5852090032154
"331",1640,10,88.1028938906752
"332",1640,30,88.2636655948553
"333",1640,100,88.5852090032154
"334",1630,0.01,88.5852090032154
"335",1630,0.03,88.4244372990354
"336",1630,0.1,87.6205787781351
"337",1630,0.3,87.9421221864952
"338",1630,1,87.6205787781351
"339",1630,3,87.459807073955
"340",1630,10,88.4244372990354
"341",1630,30,87.9421221864952
"342",1630,100,88.5852090032154
"343",1620,0.01,87.9421221864952
