"","V1","V2","V3","V4","V5","V6","V7"
"1",3000,0.01,0.737916546103394,0.697916666666667,0.737847222222222,0.657986111111111,0.397101675827761
"2",3000,0.1,0.737916546103394,0.697916666666667,0.737847222222222,0.657986111111111,0.397101675827761
"3",3000,1,0.737916546103394,0.697916666666667,0.737847222222222,0.657986111111111,0.397101675827761
"4",3000,10,0.737916546103394,0.697916666666667,0.737847222222222,0.657986111111111,0.397101675827761
"5",3000,100,0.737916546103394,0.697916666666667,0.737847222222222,0.657986111111111,0.397101675827761
"6",2900,0.01,0.730471764081792,0.697048611111111,0.736111111111111,0.657986111111111,0.395305445126285
"7",2900,0.1,0.730471764081792,0.697048611111111,0.736111111111111,0.657986111111111,0.395305445126285
"8",2900,1,0.730471764081792,0.697048611111111,0.736111111111111,0.657986111111111,0.395305445126285
"9",2900,10,0.730471764081792,0.697048611111111,0.736111111111111,0.657986111111111,0.395305445126285
"10",2900,100,0.730471764081792,0.697048611111111,0.736111111111111,0.657986111111111,0.395305445126285
"11",2800,0.01,0.729609736689814,0.699652777777778,0.730902777777778,0.668402777777778,0.400087741526623
"12",2800,0.1,0.729609736689814,0.699652777777778,0.730902777777778,0.668402777777778,0.400087741526623
"13",2800,1,0.729609736689814,0.699652777777778,0.730902777777778,0.668402777777778,0.400087741526623
"14",2800,10,0.729609736689814,0.699652777777778,0.730902777777778,0.668402777777778,0.400087741526623
"15",2800,100,0.729609736689814,0.699652777777778,0.730902777777778,0.668402777777778,0.400087741526623
"16",2700,0.01,0.731496551890432,0.694444444444444,0.71875,0.670138888888889,0.38934918484709
"17",2700,0.1,0.731496551890432,0.694444444444444,0.71875,0.670138888888889,0.38934918484709
"18",2700,1,0.731496551890432,0.694444444444444,0.71875,0.670138888888889,0.38934918484709
"19",2700,10,0.731496551890432,0.694444444444444,0.71875,0.670138888888889,0.38934918484709
"20",2700,100,0.731496551890432,0.694444444444444,0.71875,0.670138888888889,0.38934918484709
"21",2600,0.01,0.732738353587962,0.697048611111111,0.723958333333333,0.670138888888889,0.394669222862402
"22",2600,0.1,0.732738353587962,0.697048611111111,0.723958333333333,0.670138888888889,0.394669222862402
